814047,660,955,11,1,0,0,0,0,0,0,1
1035466,113,675,42,1,-1,0,0,0,0,0,1
573887,120,262,44,1,220,0,0,0,0,0,1
321935,163,496,11,1,220,0,0,0,0,0,1
1185422,441,3674,22,1,220,0,0,0,0,0,1
981370,70,869,36,1,220,0,0,0,0,0,1
640640,207,1185,585,0,1601,0,1,0,0,0,1
931892,554,1709,1050,1,6756,0,0,0,0,0,1
971637,292,1093,31,1,-1,0,0,0,0,0,1
1211551,163,531,44,1,-1,0,0,0,0,0,1
1215698,104,622,44,1,220,0,0,0,0,0,1
2332,133,897,61,1,0,0,0,0,0,0,1
849007,436,796,752,0,4659,0,1,0,0,0,1
1717388,283,870,11,1,0,0,0,0,0,0,1
1616830,30,251,43,1,200,0,0,0,0,0,1
925176,706,4072,1223,0,2926,0,0,0,0,0,1
1046284,151,451,400,1,220,0,0,0,0,0,1
1541284,236,1509,356,1,336,0,0,0,0,0,1
1521310,108,334,31,1,220,0,0,0,0,0,1
1571754,69,198,44,1,-1,0,0,0,0,0,1
1461004,94,722,45,1,-1,0,0,0,0,0,1
1363890,105,385,53,1,220,0,0,0,0,0,1
1621086,56,158,44,1,-1,0,0,0,0,0,1
426912,442,11858,11,1,0,0,0,0,0,0,1
814894,114,349,31,1,220,0,0,0,0,0,1
1674375,57,306,32,1,220,0,0,0,0,0,1
327988,269,1783,44,1,220,0,0,0,0,0,1
91812,1392,1490,37,1,-1,0,0,0,0,0,1
663438,101,619,45,1,220,0,0,0,0,0,1
314188,18,237,32,1,-1,0,0,0,0,0,1
246530,540,6946,34,1,220,1,1,0,0,0,1
446763,402,20896,44,1,0,0,1,0,0,0,1
806382,204,2157,43,1,220,0,1,1,1,0,1
1297944,65,120,36,1,-1,0,0,0,0,0,1
75292,358,1355,44,1,220,0,0,0,0,0,1
45617,243,11495,11,1,-1,0,0,0,0,0,1
945267,175,670,400,1,-1,0,0,0,0,0,1
222352,898,12391,35,1,0,0,0,0,0,0,1
962102,85,478,400,1,-1,0,0,0,0,0,1
1219016,471,1267,11,1,220,0,0,0,0,0,1
1722582,1309,3741,42,1,220,0,0,0,0,0,1
1382593,294,461,427,0,3070,0,0,0,0,0,1
32399,631,5001,44,1,0,0,0,0,0,0,1
3782,262,387,31,1,-1,0,0,0,0,0,1
564420,150,605,428,0,1898,0,0,0,0,0,1
1223945,780,937,11,1,-1,0,0,1,1,0,1
1561691,45,102,31,1,-1,0,0,0,0,0,1
1028366,166,9152,31,1,0,0,0,0,0,0,1
1595630,374,9745,810,0,301,0,0,0,0,0,1
1455065,546,2853,31,1,220,0,0,0,0,0,1
462875,400,783,41,1,220,0,0,0,0,0,1
799273,264,2292,11,1,0,0,0,0,0,0,1
288158,185,1284,44,1,220,0,0,0,0,0,1
463468,511,32091,599,0,6044,0,1,0,0,1,1
1450775,39,249,13,1,-1,0,0,0,0,0,1
889745,232,783,43,1,-1,0,0,0,0,0,1
954155,24,1038,444,1,8114,0,0,0,0,0,1
269715,285,498,44,1,-1,0,0,0,0,0,1
872708,380,1736,11,1,0,0,0,0,0,0,1
464201,55,362,11,1,220,0,0,0,0,0,1
1584185,347,685,11,1,0,1,1,1,1,1,1
